id,ans,result,text
5,1,True,สวัสดีครับ วันนี้ผมมีความสุขมากเลย
6,-1,True,วันนี้ช่างแย่จริงๆเลย
7,1,False,สวัสดีวันปีใหม่ สงกรานต์ปีนี้เงียบเหงา คนกรุงไม่ได้เล่นน้ำเพราะกลัวพวกโจรกบฎเสื้อแดง หดหู่จริงๆ #welovethai
8,-1,True,@tl2inooo: เพราะเสื้อแดง จึงไม่ได้ไปเล่น สงกรานต์ ยังมีหน้ามาบอกจะมาเล่นกับคนกรุง อีควาย กูไม่เล่นกับมึง #WeLoveThai #redmarch
9,-1,True,@kru_bannok ถ้าเสื้อแดงรู้ว่าการชุมนุมอย่างสงบไม่ทำร้ายผู้อื่นเป็นอย่างไร คงไม่เกิดเหตุนี้ #WeLoveThai #RedTweet
10,-1,True,@AtLastIFound: @tl2inooo แดงเชื่อว่าทำร้ายรถ ขีดรอบคัน ทุบกระจกรถผู้ไม่เห็นด้วยคือ..อารยะขัดขืนตามกรอบประชาธิปไตย #WeLoveThai/โง่และบ้า!
11,-1,True,เศษแดงมันคนบ้า ใครจะรู้ว่าคนบ้ากล้าทำอะไรบ้าง กล้าฆ่าคนเพียงเพื่อให้ได้สิ่งที่ตนต้องการ #WeLoveThai #RedTweet
12,1,True,สวัสดีปีใหม่ไทย สุขสันต์วันสงกรานต์ทุกท่านครับ #redtweet #welovethai #weloveking
13,-1,True,งด สาดน้ำเสื้อแดง ครับ แนะ เอาขี้ไป สาดมันดีกว่า #WeloveThai #redmarch
14,1,False,ไม่ว่าจะสีไหนๆ ก็ไม่เคยทำให้พระองค์ทรงเป็นสุขซักนิด #WeLoveThai #WeLoveKing #Redshirt
15,1,True,สวัสดี วันสงกรานต์!!!! มีความสุขกันทุกคนครับ #thaifollow #welovethai
16,1,True,@nooporjai: @PimmieSW สวัสดีปีใหม่ไทยเช่นกันจ๊า :) ไม่เอาอ่า ไม่ชอบเปียก อิอิ //เอาโชคแล้วกันเนอะ   #Thaksindie #getoutPOK #WeLoveThai
18,-1,True,เสื้อแดงไหนหละสาดเลือดแก้เคล็ดของพวกเอ็ง ดูไงก็แค่การสร้างความน่ารังเกลียด ตอนนี้ตายกี่ศพ #WeLoveThai #RedTweet
19,1,False,@boyzeedmaker สรุปคุณนั่นแหละที่เถียงคนอื่นโดยไม่ใช้ความคิด แล้วจะให้ผมเคารพความคิดอะไร เพราะคุณไม่ได้คิดนี่ #RedTweet #WeLoveThai
20,1,False,จ้าง มือที่ 3 มายิงกับ มือที่ 1 แถมลูกหลงไปโดนมือที่ 2 งามหน้านัก คุณแกนนำ  #WeloveThai #redmarch
21,1,False,ไม่ว่าจะสีไหน ๆ ก็ไม่เห็นจะทำอะไรเพื่อพระองค์ท่านเลยสักกะสี #WeLoveThai #WeLoveKing
22,1,True,กลับบ้าน มาสงกรานต์บ้านนอก คนแก่เข้าวัดทำบุญ คนเด็กเล่นสาดน้ำสนุกสนาน ความสุขใกล้ตัวครับ :) #welovethai #fb
23,1,True,เพราะโลกอยู่ได้ด้วยการให้ พระอาทิตย์ให้แสงสว่างต่อสรรพสัตว์ ฝนให้น้ำ การให้จึงงดงามและยิ่งใหญ่เสมอ เรามาให้อภัยซึ่งกันและกันคับ #welovethai
24,1,True,ปีใหม่ไทยมาเยือนอีกครั้งหนึ่ง ขอพรซึ่งคุณพระศรีนำความหวัง นำคนไทยพ้นมืดจากพวังค์ พ้นข้ามฝั่งฝ่าวิกฤติร้ายกลับดี #redtweet #Welovethai
25,1,False,ถ้าพี่ขี่ชอปเปอร์แล้วมาเร่งสุดมือในย่านชุมชน ผมว่าสมองพี่ก็ไม่ต่างอะไรกับไอ้เด็กแว๊นแต่งท่อกากๆ ...แค่พี่มีเงินมากกว่ามันหน่อยนึง
26,-1,True,น้องผมกลับมาทำการบ้าน เปิดคอม เข้ากูเกิล ก๊อกๆแก๊กๆ เสร็จละ!  โห...สมัยพี่มันนะ นู้น ต้องไปห้องสมุด แล้วบ้านอยู่ห่างตัวเมือง 20 กิโล ...แม่ง
27,-1,True,เรียนตามตรง นาทีนี้ หิวเยี่ยงปอบลง
28,-1,True,เซ็งมาก ตอนนี้อยู่บริษัทเพื่อน เมื่อคืนรถผมร่วงกลางถนนตอนตีสี่ เข็นมาเองอีกหลายกิโล แล้วก็นอนข้างถนนยันเช้า ;_;
29,1,True,@buumoon โอ้ววว น่าร๊ากกกก ขอบคุณครับ
30,-1,True,ธีมใหม่บล็อคเสร็จไม่ทันคืนนี้แน่นอน T-T โดนโทรจิกยิกๆแล้ว ฮือ
31,1,True,@bioice ผมสิต้องขอบคุณที่ให้พื้นที่มาใช้ฟรีน่อท่าน อันนี้ถือว่าผมพลาดเองที่ไม่ได้ backup ไว้ ยังไงผมก็ต้องขอบคุณท่านกับท่านเซิ่นน่อครับ :-)
32,-1,True,ยามมันขึ้น Not Responding แล้วหงุดหงิด เมาส์สะกิดมันก็ปิด Stopped working บอกตามตรงฉันละเหนี่อยกับแกจริง เจออีกปิ๊งกูจะวิ่งไปกด Shutdown เอย
33,1,True,@1numai ยินดีที่ได้รู้จักเช่นกันครับ
34,1,False,เจอเพื่อนน้องชาย เกรียนล้วนๆ 3 คน มันสบตาแต่ไม่ยกมือไหว้เราซักคน 1) เราไม่น่าเคารพ หรือ 2) เด็กรุ่นใหม่เค้ายกเลิกวัฒนธรรมไหว้ผู้ใหญ่กันแล้ว?
35,1,True,ชวนเพื่อนๆมาร่วมฉลองโฉมใหม่ของเวบไซต์วัตสันรับปี 2011 ลุ้นรับ iPad WIFI 3G หรือ ผลิตภัณฑ์ตราวัตสันทุกวัน http://bit.ly/dZjWNL
36,-1,True,@jarpichit เฮ้ย โดนแบนจริงดิจ่า เฮ้ย เล่นกันถึงขนาดนั้นเลยเหรอ!!?
37,-1,False,เผยโฉมแล้ว NGP หรือ PlayStation Portable 2 กลางงาน PlayStation Meeting 2011 http://t.co/2sfV1i8 // ระบบ LiveArea น่าสนใจมาก
38,1,True,@kobcrazy T-T โลกนี้ก็ยังไม่สิ้นไร้คนน้ำใจงาม (สม่ำเสมอ) ล่ะน่อ...
39,1,True,@Funtland น่ารักคนละอารมณ์นะ เรื่องนี้มันแบบ...น่ารักสุดๆจริงๆ ให้ดิ้นตายสิ
41,1,True,รักที่รักที่สุดในโลก จริงๆนะ รัก รัก รัก ๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
43,1,True,@Nateukihae โหลๆๆๆ รัก Super Junior เช่นกานนนจ๊า
44,-1,True,@kangkii รัก แม่งเหนื่อยกว่ารบอีก
45,-1,True,ทั้งหมดนั้นโกหกหมดเลยเหรอ ? รัก คิดถึง เป็นห่วง คนเราฝืนใจทำเรื่องแบบนี้ได้ด้วยเหรอ
46,1,True,รัก วรเวช มากมาย  เป็นกำลังใจให้เฮีย ป๋าเก่งสุดยอด
47,1,True,สุขสันต์วันเกิดนะพี่คุณ
48,1,True,ว้าวๆ ได้ซะที การบินไทย รัก(นิช)คุณ เท่าฟ้า  #HBDNICHKHUN
49,1,True,อย่างฮาเลย .. โน๊ตอุดม รัก ณ สยาม :: http://youtu.be/yOhHVR6JkzI
50,-1,True,ก็เป็นแค่ คนธรรมดา ๆ คน นึง รัก โลภ โกรธ หลง หน้ามืดตามัว วีนแตกได้ ถ้าแยกแยะได้ ไม่ยึดติดได้ขนาดนั้น กูจะไปบวช
51,-1,True,ทำไมทำอะไรก็ไม่ดีไปหมดว้ะ? เรียน เพื่อน รัก กูมันแย่เองใช่ไหม?
52,1,True,รัก Google Maps จริงๆเลย..
53,-1,True,ทำไมต้องทำร้ายคนทีเธอบอกว่ารัก
54,1,True,RT @sugree: รัก git
55,-1,False,ถูกใจ Samsung ตรงราคา Tab Wi-Fi มากๆ
56,-1,False,Samsung Galaxy 551 : 5,990 บาท โอ้โหเหะ ราคาเบาๆเลยนะเนี่ย ^^
57,1,True,เป็นกำลังให้ ญี่ปุ่น ค่ะ ขอให้ผ่านเหตุการณ์นี้ไปด้วยดี
58,1,True,งานของน้องฝึกงานทั้ง2คนถือว่า รับได้ ผ่าน อนาคตไปได้อีกไกล ดีใจด้วยมากๆครับ
59,1,True,วันนี้ อากาศ ดี๊ ดี ^^'
60,1,True,11 9 01 + 11 3 11 = 22 12 12 ? ใครนะช่างคิดเอามารวมกัน อันแรกมันฝีมือมนุษย์เองตะหากเล่า"//สุดยอด!
61,1,True,สุดยอด แมนยู ชนะ 2-1
62,1,True,@YINGjingy @Katai_Hyungsik @mini2mintt เรามาทำป้ายผ้าเจอาร์กัน แบบ ทำ ชื่อเมนแต่ละคน แต่เป็นผ้าแบบเดียวกันสีเดียวกัน เก๋ดีออก
63,1,True,ทำ Live Update Galaxy S เป็น Gingerbread อีกรอบดีมั้ยนะ ดูเหมือนคนจะสนใจเยอะ
64,1,True,@POoh_pop 55พรุ่งนี้พี่ไปช่วยพวกพี่ทีมาจาก มช. ทำ"ฮักหนา"เป็นละครเวทีจ๊ะ ต้องสนุกแน่ๆเลย 55555
65,1,True,เย้. ดิ้นๆๆๆๆๆ รพ.พระนั่งเกล้า รับ wifiของกทม. ได้ เย้ๆๆๆๆๆๆๆ
66,-1,False,เกรดวิชาอื่นได้เท่าไหร่ไม่สน แต่ที่ดีใจคือ ได้ Wage & Salary A ไม่เสียแรงที่ตื่นเช้าไปเรียนทุกวัน ^^
67,-1,True,นี่เป็นสัปดาห์แห่งการซ่อมแท้ๆ ซวยจริง.. วันก่อน Kindle เสีย (Amazon ส่งเครื่องใหม่ถึงบ้าน!) ส่วนวันนี้เอา HTC Legend กะ iPad ไปส่งฟอร์จูนอีก
68,-1,True,ลืมเอากระเป๋าตังค์ออกมา!..? หยิบสมุดบัญชีผิดเล่ม!..? ตู้ ATM เสีย!..? ธนาคารปิด!..? พรุ่งนี้จะยางแตก รถระเบิด ถนนขาด หมาตาย เชี่ยไรอีกคะ!?
69,-1,True,การที่ประเทศนี้มีบ่อนผิดกฎหมายเยอะแยะ//ยุคทองของโจรและมาเฟีย หวย บ่อน ซ่อง อบายมุขทุกชนิดเปิดแบบไม่เกรงใจปชช. ยุคทองของมาเฟีย
70,-1,True,นั่นซิจะเปิด Fan Page มาทำไม ถ้าจะแค่ทำเพื่อ promote สินค้า กับ update ข่าวที่หาได้จาก internet ทั่วไป
71,1,False,"ฝนตก" บวก "นอนน้อย" มีค่าเท่ากับ "ขี้เกียจ"
72,1,False,ประเทศไทย ภูมิศาสตร์ ดี ... แต่ผู้มีอำนาจ แทบทุกระดับ ไม่ดี
73,-1,True,เบื่อ พวก งี่เง่า รังเกียจ พวก ไร้ สมอง ดี แต่ ด่าว่า คนอื่น ไป วันๆ
74,-1,True,การเมืองไทยเป็นสิ่งที่เน่าจนไม่สามารถไปยุ่งเกี่ยวได้เลยใช่ไหม ทำ ad อะไรที่เกี่ยวการเมืองนิดนึง...เป็นโดนสอย
75,-1,True,ทำ mac ค้าง ไปหลายรอบล่ะเหอๆ
76,-1,True,Android Market แม่มกากจริงอะไรจริง
77,-1,False,เพื่อพี่นุ่นเลย 55 ถ้าสอบติดจะมากราบพี่นุ่นงามๆ ทางทวิตสัก สาม ที 55555 | 55555 ติดแน่ ชัวร์ !!!! เพี้ยง -/\-"
78,1,True,@Dyuuii อืมๆๆๆ มาสด้า สาม เดือนว่า อัลติสก็ดี ซีวิกก้อโอเค ถ้าใช้ครเดียวซีวิกก็ดีนะ น่ารักดี
81,1,True,ANDROID ทำให้ ผู้บริโภคมีทางเลือก
82,-1,False,อยากได้ ฮอนด้า'บริโอ้' เพราะหมากเป็นพรีเซ็นเตอร์ ... (เห้ย! ช่วงนี้อาการหนักนะเราเนี่ย...)
83,1,True,ผัก ผลไม้สีม่วง.....มีส่วนช่วยให้ความจำดี!!!
84,1,True,เมื่อวานดูรายการทีวี มีฝรั่งมาออกรายการ เค้ามีดีกรีด๊อกเตอร์เป็น อ.สอนมหาวิทยาลัย พี่แกทำงาน 4 เดือน เที่ยว 8 เดือน เข้าท่าดีแฮะ
85,1,True,เที่ยว คลายเครียด ดีกว่าเนอะ
86,1,True,ได้เวลา อาบน้ำ ฮ่าๆๆๆ พ่อออกไปข้างนอกละ ทีวี เสร็จช้านนนนน
87,1,False,ผลกระทบที่นิ่มโดนจากแผ่นดินไหวและซึนามิคือ ของสด ผัก ผลไม้ราคาแพงขึ้น และอาหารทะเลสดขาดตลาด ...
88,-1,True,มันน่ากลัวจริงๆนะ คิดสภาพถ้าคุณเปิดเครื่องใช้ไฟฟ้าพร้อมๆกัน: แอร์, ทีวี, คอม และ ไฟ... แล้วฟ้าร้องฟ้าผ่าดัง "เปรี้ยง"!
89,-1,True,เซ็งกล้อง #WoodyTalk ทีวี บ้านผม เป็น 4:3 อ่ะ หน้าบีบบบบบมากกก - -"
91,-1,True,วันนี้กระเป๋าหนักมาก เท็กวิชาโพลิติก นิยาย แฟ้ม สมุดเลคเชอร์ กล่องดินสอ กระเป๋าไอพอต สายชาร์ต แท่นชาร์ต ลิปกลอส กระจก กระเป๋าตัง ฯลฯ
92,-1,True,กินอะไรก็หกก็เลอะ วันนี้ต้องรีบกลับบ้านไปอาบน้ำ เพราะกินทูน่าหกใส่กระโปรง กระเป๋า เก้าอี้ เสื้อคลุม = =
93,1,True,ปริมาณสาร โอ้วเย้ ง่าย
94,1,True,@Cake_NBC: ก้ม หน้า อัน เก๋ เก๋ ของ เรา ทำ งาน สุจริต ต่อ ไป อย่า ได้ แคร์ หวย | จิงที่สุดค่ะ 5555
95,1,True,@NATsakdatorn หล่อมากกก ขอบคุณวู้ดดี้ @Woodytalk รายการ "เช้าดูวู๊ดดี้" นะคะ ช่วงสัมภาษณ์คุยกันสนุกมากๆ ช่วงชิมอาหารก็น่าทานจริงๆค่ะ ไปอีกนะ
96,1,True,ดนตรี ศิลปะ กีฬา 3 สิ่งนี้ ถ้าใครมี+เก่ง หรือเป็นสักอย่าง..จากตาหน้าขี้เหร่ จะดูดีมีเสน่ห์ขึ้นมาทันที :)
97,1,True,เมื่อวานตีปังย่าใน Wii สนุกดี ไว้เล่นเก็บชุดสวยๆดีกว่า
98,1,True,ชั้นอยากจะเห็นเธอทุกวัน เช้า สาย บ่าย ค่ำ ^___ ^
99,-1,False,หยุด.....และ ทำธุระปะปังเสร็จหมดแล้ว ไปยื่นภาษีมาที่สรรพากร ไม่รู้เค้าคิดผิดป่าว...แต่ได้คืนแปดพันกว่าบาท....ได้ค่าบัตรคอนแล้วเว้ยยยยยยย555+
100,1,True,วันนี้ไปเตรียม(สุดท้าย)>< ป้าขายน้ำทำให้อยากสอบได้55555555
101,-1,True,Wii เป็นเครื่องเกมที่ซื้อมาแล้วเล่นไม่คุ้มที่สุด #Fuck you Capcom :: ยืมมาเล่นยังรู้สึกเสียดายตังแทนเจ้าของเครื่อง
102,-1,True,@clozed2u ภาษาราชการที่เขียนมาวกวนเพื่ออะไร จะได้แถๆ ได้ในสภาตอนโดนจับได้หรือไง แล้วคิดถึงเด็ก ครู หรือร้านหนังสือบ้างไหม
103,1,False,นิยามสามคำสำหรับตอนนี้กันสิครับ >> แม่ง อัด อั้น!
104,-1,True,เซ็งจิต อุตสาห์ แบก กล้อง ฝ่่านละอองฝน ไปถ่ายนกหน้าบ้าน แม่มเอ้ย ใกล้ไป โฟกัสไม่ติด ถอยอีกก็ไม่มี มุม T-T
105,-1,True,ถ้ารถเมล์ขสมก.สาย 76 ที่จะไปสุรศักดิ์จะกวนตีนแบบนี้ เมิงอย่าเป็นเลยเหอะ กรูเอาเงินให้เมิงนะ เมิงทำงานบริการประชาชนนะเว้ย
106,-1,True,ขอทำงานได้ไหม เหนื่อยจะแย่แล้ว หยุดเอาเรื่องเวรๆ ทั้งหลายยัดใส่เราเสียที แค่นี้เรายังเจ็บไม่พอใช่ไหม? จะทำงานๆๆๆๆ หยุด!!
107,-1,True,มะกี๊ bts หยุด ไฟดับ เค้ากัว
108,-1,True,เจ็บตรงที่เธอแกล้งทำเป็นรัก,แกล้งทำเป็นมีเยื่อใย,สุดท้าย,ก็ทิ้งฉันไปมีคนใหม่.
109,1,True,ยอด pre order เกม Disaster Report 4 ที่ Amazon Japan อยู่ๆกระโดดจากอันดับ 86 มาเป็นอันดับ 10 ใน 2 วัน = ="""
110,1,True,"รุ่งโรจน์ ร่วงโรย ราช ริเริ่ม รัฐ ราษฎร์ ร่วม รู้ รัก สามัคคี เพื่อประโยชน์สุขของชาวลุ่มน้ำปากพนัง" #rdpbcamp
